cis_id,cis_control,d3fend_id,d3fend_tactic,d3fend_technique,attack_id
1.1,CIS 1.1 (L1) Ensure Apple-provided Software Updates Are Installed (Automated),D3-DA,Detect,Asset Inventory,T1082
6.3.2,CIS 6.3.2 (L2) Audit History and Remove History Items (Manual),D3-PWD,Access Control,Password Policies,T1201
6.3.1,CIS 6.3.1 (L1) Ensure Automatic Opening of Safe Files in Safari Is Disabled (Automated),D3-FKA,Access Control,File Encryption,T1213
6.3.3,CIS 6.3.3 (L1) Ensure Warn When Visiting A Fraudulent Website in Safari Is Enabled ..371 (Automated),D3-FKA,Access Control,File Encryption,T1213
5.1.2,CIS 5.1.2 (L1) Ensure System Integrity Protection Status (SIP) Is Enabled (Automated),D3-SB,Harden,Execution Prevention,T1542
6.3.7,CIS 6.3.7 (L1) Ensure Show Full Website Address in Safari Is Enabled (Automated),D3-FKA,Access Control,File Encryption,T1213
6.3.10,CIS 6.3.10 (L1) Ensure Show Status Bar Is Enabled (Automated),D3-FKA,Access Control,File Encryption,T1213
6.4.1,CIS 6.4.1 (L1) Ensure Secure Keyboard Entry Terminal.app Is Enabled (Automated),D3-FKA,Access Control,File Encryption,T1213
3.2,CIS 3.2 (L2) Ensure Security Auditing Flags For User-Attributable Events Are Configured Per Local Organizational Requirements (Automated),D3-SCA,Harden,System Configuration,T1546
6.1.1,CIS 6.1.1 (L1) Audit Show All Filename Extensions (Manual),D3-LME,Detect,Log Management,T1005
5.5,CIS 5.5 (L1) Ensure a Separate Timestamp Is Enabled for Each User/tty Combo (Automated),D3-LAM,Access Control,Account Management,T1078
5.3.1,CIS 5.3.1 (L1) Ensure all user storage APFS volumes are encrypted (Manual),D3-LAM,Access Control,Account Management,T1078
5.6,"CIS 5.6 (L1) Ensure the ""root"" Account Is Disabled (Automated)",D3-LAM,Access Control,Account Management,T1078
5.9,CIS 5.9 (L1) Ensure the Guest Home Folder Does Not Exist (Automated),D3-LAM,Access Control,Account Management,T1078
6.3.5,CIS 6.3.5 (L2) Audit Hide IP Address in Safari Setting (Manual),D3-LME,Detect,Log Management,T1005
2.5.1.1,CIS 2.5.1.1 (L1) Ensure External Intelligence Extensions Is Disabled (Automated),D3-SCA,Harden,System Configuration,T1546
2.5.1.3,CIS 2.5.1.3 (L1) Ensure Mail Summarization Is Disabled (Automated),D3-SCA,Harden,System Configuration,T1546
2.5.1.4,CIS 2.5.1.4 (L1) Ensure Notes Summarization Is Disabled (Automated),D3-SCA,Harden,System Configuration,T1546
2.5.1.2,CIS 2.5.1.2 (L1) Ensure Writing Tools Is Disabled (Automated),D3-SCA,Harden,System Configuration,T1546
5.2.3,CIS 5.2.3 (L2) Ensure Complex Password Must Contain Alphabetic Characters Is Configured (Manual),D3-PWD,Access Control,Password Policies,T1201
5.2.6,CIS 5.2.6 (L2) Ensure Complex Password Must Contain Uppercase and Lowercase Characters Is Configured (Manual),D3-PWD,Access Control,Password Policies,T1201
5.2.1,CIS 5.2.1 (L1) Ensure Password Account Lockout Threshold Is Configured (Automated),D3-LAM,Access Control,Account Management,T1078
5.2.2,CIS 5.2.2 (L1) Ensure Password Minimum Length Is Configured (Automated),D3-PWD,Access Control,Password Policies,T1201
5.2.7,CIS 5.2.7 (L1) Ensure Password Age Is Configured (Automated),D3-PWD,Access Control,Password Policies,T1201
5.2.8,CIS 5.2.8 (L1) Ensure Password History Is Set to at least 24 (Automated),D3-PWD,Access Control,Password Policies,T1201
5.11,CIS 5.11 (L1) Ensure Logging Is Enabled for Sudo (Automated),D3-LME,Detect,Log Management,T1005
5.4,CIS 5.4 (L1) Ensure the Sudo Timeout Period Is Set to Zero (Automated),D3-LAM,Access Control,Account Management,T1078
3.4,CIS 3.4 (L1) Ensure Security Auditing Retention Is Enabled (Automated),D3-LME,Detect,Log Management,T1005
3.5,CIS 3.5 (L1) Ensure Access to Audit Records Is Controlled (Automated),D3-LME,Detect,Log Management,T1005
4.1,CIS 4.1 (L2) Ensure Bonjour Advertising Services Is Disabled (Automated),D3-NI,Isolate,Network Isolation,T1563
4.2,CIS 4.2 (L1) Ensure HTTP Server Is Disabled (Automated),D3-NI,Isolate,Network Isolation,T1563
4.3,CIS 4.3 (L1) Ensure NFS Server Is Disabled (Automated),D3-NI,Isolate,Network Isolation,T1563
5.1.1,CIS 5.1.1 (L1) Ensure Home Folders Are Secure (Automated),D3-LAM,Access Control,Account Management,T1078
5.1.3,CIS 5.1.3 (L1) Ensure Apple Mobile File Integrity (AMFI) Is Enabled (Automated),D3-SB,Harden,Execution Prevention,T1542
5.1.4,CIS 5.1.4 (L1) Ensure Signed System Volume (SSV) Is Enabled (Automated),D3-SB,Harden,Execution Prevention,T1542
5.1.5,CIS 5.1.5 (L1) Ensure Appropriate Permissions Are Enabled for System Wide Applications (Automated),D3-FKA,Access Control,File Encryption,T1213
5.1.6,CIS 5.1.6 (L1) Ensure No World Writable Folders Exist in the System Folder (Automated),D3-FKA,Access Control,File Encryption,T1213
5.1.7,CIS 5.1.7 (L2) Ensure No World Writable Folders Exist in the Library Folder (Automated),D3-FKA,Access Control,File Encryption,T1213
2.6.1.1,CIS 2.6.1.1 (L2) Ensure Location Services Is Enabled (Automated),D3-DL Prevention,Isolate,Data Loss Prevention,T1565
2.6.1,CIS 2.6.1 (L2) Location Services (Manual),D3-DL Prevention,Isolate,Data Loss Prevention,T1565
2.6.4,CIS 2.6.4 (L1) Ensure Limit Ad Tracking Is Enabled (Automated),D3-DL Prevention,Isolate,Data Loss Prevention,T1565
2.6.8,CIS 2.6.8 (L1) Ensure an Administrator Password Is Required to Access System-Wide Preferences (Automated),D3-PWD,Access Control,Password Policies,T1201
2.7.1,CIS 2.7.1 (L2) Ensure Screen Saver Corners Are Secure (Automated),D3-SCA,Harden,System Configuration,T1546
2.8.1,CIS 2.8.1 (L1) Audit Universal Control Settings (Manual),D3-SCA,Harden,System Configuration,T1546
2.10.2,CIS 2.10.2 (L1) Ensure Power Nap Is Disabled for Intel Macs (Automated),D3-SCA,Harden,System Configuration,T1546
2.10.1.2,CIS 2.10.1.2 (L2) Ensure Sleep and Display Sleep Is Enabled on Apple Silicon Devices (Automated),D3-SCA,Harden,System Configuration,T1546
2.10.3,CIS 2.10.3 (L1) Ensure Wake for Network Access Is Disabled (Automated),D3-NI,Isolate,Network Isolation,T1563
2.10.1.1,CIS 2.10.1.1 (L2) Ensure the OS Is Not Active When Resuming from Standby (Intel) (Manual),D3-SCA,Harden,System Configuration,T1546
2.11.2,CIS 2.11.2 (L1) Ensure Require Password After Screen Saver Begins or Display Is Turned Off Is Enabled for 5 Seconds or Immediately (Automated),D3-PWD,Access Control,Password Policies,T1201
2.6.5,CIS 2.6.5 (L1) Ensure Gatekeeper Is Enabled (Automated),D3-SB,Harden,Execution Prevention,T1542
2.6.3.1,CIS 2.6.3.1 (L1) Ensure Share Mac Analytics Is Disabled (Automated),D3-LME,Detect,Log Management,T1005
