cis_id,cis_control,d3fend_id,d3fend_tactic,d3fend_technique,attack_id
1.1,CIS 1.1 UBTU-24-90890 (Automated),D3-LME,Detect,Log Management,T1070
1.2,CIS 1.2 UBTU-24-100010 (Automated),D3-LME,Detect,Log Management,T1070
1.3,CIS 1.3 UBTU-24-100020 (Automated),D3-LME,Detect,Log Management,T1070
1.4,CIS 1.4 UBTU-24-100030 (Automated),D3-SCA,Harden,System Configuration,T1546
1.5,CIS 1.5 UBTU-24-100040 (Automated),D3-SCA,Harden,System Configuration,T1546
1.6,CIS 1.6 UBTU-24-100100 (Automated),D3-FCSAM,Detect,File Content Scanning,T1565
1.7,CIS 1.7 UBTU-24-100110 (Manual),D3-FCSAM,Detect,File Content Scanning,T1565
1.8,CIS 1.8 UBTU-24-100120 (Manual),D3-FCSAM,Detect,File Content Scanning,T1565
1.9,CIS 1.9 UBTU-24-100130 (Automated),D3-FCSAM,Detect,File Content Scanning,T1565
1.10,CIS 1.10 UBTU-24-100200 (Automated),D3-LME,Detect,Log Management,T1070
1.11,CIS 1.11 UBTU-24-100300 (Automated),D3-NI,Isolate,Network Isolation,T1190
1.12,CIS 1.12 UBTU-24-100310 (Automated),D3-NI,Isolate,Network Isolation,T1190
1.13,CIS 1.13 UBTU-24-100400 (Automated),D3-LME,Detect,Log Management,T1070
1.14,CIS 1.14 UBTU-24-100410 (Automated),D3-LME,Detect,Log Management,T1070
1.15,CIS 1.15 UBTU-24-100450 (Automated),D3-LME,Detect,Log Management,T1070
1.16,CIS 1.16 UBTU-24-100500 (Automated),D3-LAM,Access Control,Account Management,T1078
1.17,CIS 1.17 UBTU-24-100510 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.18,CIS 1.18 UBTU-24-100600 (Automated),D3-FCSAM,Detect,File Content Scanning,T1565
1.19,CIS 1.19 UBTU-24-100650 (Automated),D3-FCSAM,Detect,File Content Scanning,T1565
1.20,CIS 1.20 UBTU-24-100660 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.21,CIS 1.21 UBTU-24-100700 (Automated),D3-LME,Detect,Log Management,T1070
1.22,CIS 1.22 UBTU-24-100800 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.23,CIS 1.23 UBTU-24-100810 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.24,CIS 1.24 UBTU-24-100820 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.25,CIS 1.25 UBTU-24-100830 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.26,CIS 1.26 UBTU-24-100840 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.27,CIS 1.27 UBTU-24-100850 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.28,CIS 1.28 UBTU-24-100860 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.29,CIS 1.29 UBTU-24-100900 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.30,CIS 1.30 UBTU-24-100910 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.31,CIS 1.31 UBTU-24-101000 (Automated),D3-SCA,Harden,System Configuration,T1546
1.32,CIS 1.32 UBTU-24-102000 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.33,CIS 1.33 UBTU-24-102010 (Automated),D3-LAM,Access Control,Account Management,T1078
1.34,CIS 1.34 UBTU-24-200000 (Automated),D3-SCA,Harden,System Configuration,T1546
1.35,CIS 1.35 UBTU-24-200020 (Automated),D3-SCA,Harden,System Configuration,T1546
1.36,CIS 1.36 UBTU-24-200040 (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
1.37,CIS 1.37 UBTU-24-200060 (Automated),D3-SCA,Harden,System Configuration,T1546
1.38,CIS 1.38 UBTU-24-200090 (Automated),D3-SCA,Harden,System Configuration,T1546
1.39,CIS 1.39 UBTU-24-200250 (Manual),D3-SCA,Harden,System Configuration,T1546
