cis_id,cis_control,d3fend_id,d3fend_tactic,d3fend_technique,attack_id
1.1,CIS 1.1 (L1) Ensure 'Allow Cortana Above Lock' is set to 'Block' (Automated),D3-DA,Detect,Asset Inventory,T1082
4.1.3.1,CIS 4.1.3.1 (L1) Ensure 'Prevent enabling lock screen camera' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.1.3.2,CIS 4.1.3.2 (L1) Ensure 'Prevent enabling lock screen slide show' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.4.1,CIS 4.4.1 (L1) Ensure 'Apply UAC restrictions to local accounts on network logons' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
4.4.2,CIS 4.4.2 (L1) Ensure 'Configure SMB v1 client driver' is set to 'Enabled: Disable driver (recommended)' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.4.3,CIS 4.4.3 (L1) Ensure 'Configure SMB v1 server' is set to 'Disabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.4.4,CIS 4.4.4 (L1) Ensure 'Enable Structured Exception Handling Overwrite Protection (SEHOP)' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.4.5,CIS 4.4.5 (L1) Ensure 'WDigest Authentication' is set to 'Disabled' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
4.5.1,CIS 4.5.1 (L1) Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled' (Automated),D3-LME,Detect,Log Management,T1005
4.5.2,"CIS 4.5.2 (L1) Ensure 'MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing)' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)",D3-NI,Isolate,Network Isolation,T1563
4.5.3,"CIS 4.5.3 (L1) Ensure 'MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing)' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)",D3-NI,Isolate,Network Isolation,T1563
